PID,Retalhista,Nome,Marca,Marca_Padronizada,Quantidade,Formato
976502,PingoDoce,Gelado Cookie Dough,Pingo Doce,Pingo Doce,"0.5 L | 6,98 €/L",Pints
991269,PingoDoce,Gelado Peanut Butter Cup,Pingo Doce,Pingo Doce,"0.5 L | 6,98 €/L",Pints
942541,PingoDoce,Gelados The Mini Joys Collection Pack 4,Häagen-Dazs,Häagen-Dazs,"0.32 L | 24,97 €/L",Cups
1003924,PingoDoce,Gelado Pint Pistáchio,Magnum,Magnum,"0.44 L | 9,52 €/L",Pints
865158,PingoDoce,Gelado Caramelo Salgado,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
976505,PingoDoce,Gelado Meios Cocos,Pingo Doce,Pingo Doce,"0.29 L | 9,62 €/L",Other
877321,PingoDoce,Gelado de Cheesecake Morango,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
738686,PingoDoce,Gelado Super Mix,Calippo,Calippo,"0.525 L | 5,7 €/L",Pots
988747,PingoDoce,Gelado Fruit Mix,Pingo Doce,Pingo Doce,"0.34 L | 7,62 €/L",Sticks
991385,PingoDoce,Gelado Tarte de Limão,Pingo Doce,Pingo Doce,"0.5 L | 6,98 €/L",Pints
1008052,PingoDoce,Mini Bolas de Gelado Cookie Dough Baunilha,Pingo Doce,Pingo Doce,"6 Un | 0,8 €/Un",Bites
976000,PingoDoce,Gelado com Molho de Frutos Exóticos,Olá,Olá,"0.9 L | 3,32 €/L",Tubs
988835,PingoDoce,Gelado After Dinner,Magnum,Magnum,"0.28 L | 26,75 €/L",Bites
746073,PingoDoce,Gelado Baunilha,Pingo Doce,Pingo Doce,"1 L | 2,29 €/L",Tubs
878023,PingoDoce,Gelado de Morango e Nata,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
986748,PingoDoce,Gelado Double Cherry,Magnum,Magnum,"0.255 L | 15,65 €/L",Sticks
1003928,PingoDoce,Gelados Cornetto Max Pistáchio,Cornetto,Cornetto,"0.36 L | 16,64 €/L",Cones
956781,PingoDoce,Gelado de Natas Frescas,Pingo Doce,Pingo Doce,"1 L | 2,74 €/L",Tubs
976223,PingoDoce,Gelado Tarte de Limão Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
932288,PingoDoce,Gelados Ice Up,Pingo Doce,Pingo Doce,"0.32 L | 9,34 €/L",Sticks
1008886,PingoDoce,Gelado de Baunilha e Morango,Carte D'Or,Carte D'Or,"1.7 L | 4,7 €/L",
993098,PingoDoce,Morangos Cobertos de Chocolate,itFruit,itFruit,"0.11 Kg | 24,45 €/Kg",Bites
1003925,PingoDoce,Gelado Soft & Crunchy Cornetto de Morango,Carte D'Or,Carte D'Or,"0.75 L | 3,99 €/L",Tubs
1003926,PingoDoce,Gelados Solero Mini Exotic e Berry Bliss,Solero,Solero,"0.3 L | 9,97 €/L",Sticks
1007716,PingoDoce,Gelados Majestic Tropical com Manga e Maracujá,Pingo Doce,Pingo Doce,"0.4 L | 8,73 €/L",Sticks
970201,PingoDoce,Gelado de Pistáchio,Pingo Doce,Pingo Doce,"0.5 L | 7,98 €/L",Pints
883040,PingoDoce,Gelado de Chocolate Branco e Cookies,Magnum,Magnum,"0.44 L | 9,07 €/L",Pints
883041,PingoDoce,Gelado Mini Chocolate Branco e Cookies,Magnum,Magnum,"0.33 L | 15,12 €/L",Sticks
658963,PingoDoce,Gelados Cones Clássicos,Pingo Doce,Pingo Doce,"0.72 L | 3,74 €/L",Cones
976862,PingoDoce,Gelado Majestic Cookies,Pingo Doce,Pingo Doce,"0.6 L | 6,48 €/L",Sticks
978195,PingoDoce,Sorbet Framboesa,Pingo Doce,Pingo Doce,"1 L | 3,69 €/L",Tubs
975483,PingoDoce,Gelado Barra Chocolate Branco 6UN,Snickers,Snickers,"0.264 L | 22,69 €/L",Bars
990978,PingoDoce,Gelado de Pistáchio e Baunilha,Pingo Doce,Pingo Doce,"0.95 L | 3,88 €/L",Tubs
975990,PingoDoce,Gelado de Caramelo Salgado,Olá,Olá,"0.9 L | 3,32 €/L",Tubs
928323,PingoDoce,Gelado Barra 6UN,Mars,Mars,"0.297 L | 13,1 €/L",Bars
1008974,PingoDoce,Gelados de Caramelo Salgado,Magnum,Magnum,"0.3 L | 16,63 €/L",
1008973,PingoDoce,Gelados Feast Caramelo,Olá,Olá,"0.36 L | 13,86 €/L",
1008972,PingoDoce,Gelados Sandwich,Magnum,Magnum,"0.56 L | 14,27 €/L",
860048,PingoDoce,"Gelado Mini Chocolate Branco, Clássico, e Amêndoa",Magnum,Magnum,"0.33 L | 19,06 €/L",Sticks
908733,PingoDoce,Gelado Ben & Jerry's Strawberry Cheesecake,Ben & Jerry's,Ben & Jerry's,"0.465 L | 10,73 €/L",
1008971,PingoDoce,Gelado Solero Exótico XL,Solero,Solero,"0.54 L | 6,46 €/L",
930308,PingoDoce,"Gelado Mini Chocolate Branco, Clássico, e Amêndoa",Magnum,Magnum,"0.55 L | 18,16 €/L",Sticks
1003934,PingoDoce,Gelado Churros,Ben & Jerry's,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
856636,PingoDoce,Gelado Magnum Amêndoas,Magnum,Magnum,"0.44 L | 9,07 €/L",Pints
1007717,PingoDoce,Gelado de Iogurte Natural,Pingo Doce,Pingo Doce,"0.5 L | 6,58 €/L",Pints
856635,PingoDoce,Gelado de Chocolate Clássico,Magnum,Magnum,"0.44 L | 7,93 €/L",Pints
988841,PingoDoce,Gelado Chocolate e Amêndoa,Magnum,Magnum,"0.8 L | 7,49 €/L",Sticks
1008051,PingoDoce,Mini Bolas de Gelado Cookie Dough Caramelo,Pingo Doce,Pingo Doce,"6 Un | 0,8 €/Un",Bites
1003936,PingoDoce,Gelados Mini Signature Pistáchio e Chocolate,Magnum,Magnum,"0.33 L | 21,18 €/L",Sticks
559492,PingoDoce,Profiteroles Congelados,Pingo Doce,Pingo Doce,"0.3 Kg | 9,63 €/Kg",Other
988840,PingoDoce,Gelado Cone Max Manga e Baunilha,Cornetto,Cornetto,"0.36 L | 16,64 €/L",Cones
755209,PingoDoce,"Gelado de Café, Chocolate e Caramelo",Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
878031,PingoDoce,Gelado de Manga e Framboesa,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
1009274,PingoDoce,Pedaços de Ananás Cobertos com Chocolate Branco e Coco,Pingo Doce,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
908734,PingoDoce,Gelado Chocolate Fudge Brownie,Ben & Jerry's,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
1009244,PingoDoce,Gelado Mini Barra,Reeses,Reeses,"0.302 L | 18,18 €/L",
1009242,PingoDoce,Gelado de Pistáchio,Carte D'Or,Carte D'Or,"0.825 L | 7,26 €/L",
1002631,PingoDoce,Gelado Sweet Mango Memories,Ben & Jerry's,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
1009121,PingoDoce,Gelados Haribo Push Up,Olá,Olá,"0.34 L | 14,68 €/L",
1009026,PingoDoce,Gelado Truficone,La Menorquina,La Menorquina,"0.26 Kg | 19,19 €/Kg",
962383,PingoDoce,Gelado Pirulitos,Pingo Doce,Pingo Doce,"0.368 L | 5,41 €/L",Sticks
1002630,PingoDoce,Gelado de Chocolate e Baunilha,Carte D'Or,Carte D'Or,"1.7 L | 3,52 €/L",Tubs
993243,PingoDoce,Crepes Doces,Pingo Doce,Pingo Doce,"1 Kg | 3,99 €/Kg",Other
908737,PingoDoce,Gelado Caramel Brownie Party,Ben & Jerry's,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
1002629,PingoDoce,Gelado Sandwich Filipinos e Caramelo,Filipinos,Filipinos,"0.52 L | 7,67 €/L",Sandwich
992086,PingoDoce,Gelado de Café Caramel Latte,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
985760,PingoDoce,Gelado Vegan Berries e Pistachio,Swee,Swee,"0.23 Kg | 29,52 €/Kg",Pints
862647,PingoDoce,Gelado Peanut Butter Crunch,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
1003927,PingoDoce,Gelados Mini Chocolate Branco e Morango,Magnum,Magnum,"0.33 L | 18,15 €/L",Sticks
958601,PingoDoce,Sorbet de Morango,Pingo Doce,Pingo Doce,"1 L | 3,49 €/L",Tubs
928318,PingoDoce,Gelado em Barra,Twix,Twix,"0.259 L | 11,54 €/L",Bars
971074,PingoDoce,Gelado Salted Caramel Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
908740,PingoDoce,Gelado Peanut Butter Cup,Ben & Jerry's,Ben & Jerry's,"0.465 L | 15,03 €/L",Pints
961291,PingoDoce,Gelado Sandwich XXL Filipinos,Olá,Olá,"0.52 L | 7,67 €/L",Sandwich
774976,PingoDoce,Gelados Tubitos Limão e Morango,Pingo Doce,Pingo Doce,"0.66 L | 4,38 €/L",Pots
990584,PingoDoce,Gelado Caramel & Nuts,Magnum,Magnum,"0.256 L | 26,13 €/L",Bars
991579,PingoDoce,Gelado Vegan de Baunilha com Cookie,Swee,Swee,"0.24 Kg | 28,29 €/Kg",Pints
974157,PingoDoce,Gelado de Menta,Magnum,Magnum,"0.3 L | 13,3 €/L",Sticks
658097,PingoDoce,Gelados Cones Chocolate,Pingo Doce,Pingo Doce,"0.72 L | 3,74 €/L",Cones
775647,PingoDoce,Gelado Morango,Calippo,Calippo,"0.525 L | 5,7 €/L",Pots
39237,PingoDoce,Gelado Chocolate,Pingo Doce,Pingo Doce,"1 L | 2,89 €/L",Tubs
991498,PingoDoce,Gelado Majestic Pistáchio,Pingo Doce,Pingo Doce,"0.4 L | 8,73 €/L",Sticks
974156,PingoDoce,Gelado Chocolate e Amêndoa,Magnum,Magnum,"0.4 L | 9,98 €/L",Sticks
